outcome_type,title,time_frame,OG000_Mean_value,OG000_Mean_spread,OG000_units,OG000_num_analyzed,OG001_Mean_value,OG001_Mean_spread,OG001_units,OG001_num_analyzed
SECONDARY,Change From Baseline in Fibromyalgia Impact Questionnaire (FIQ) at Endpoint - Physical Function,"Baseline, Week 15 or study discontinuation",-0.19,0.11,,,-0.47,0.11,,
SECONDARY,Change From Baseline in Fibromyalgia Impact Questionnaire (FIQ) at Endpoint - Feel Good,"Baseline, Week 15 or study discontinuation",-0.82,0.17,,,-1.45,0.17,,
SECONDARY,Change From Baseline in Fibromyalgia Impact Questionnaire (FIQ) at Endpoint - Work Miss,"Baseline, Week 15 or study discontinuation",-0.30,0.15,,,-0.31,0.15,,
SECONDARY,Change From Baseline in Fibromyalgia Impact Questionnaire (FIQ) at Endpoint - Housework,"Baseline, Week 15 or study discontinuation",-1.00,0.15,,,-1.32,0.15,,
SECONDARY,Change From Baseline in Fibromyalgia Impact Questionnaire (FIQ) at Endpoint - Pain,"Baseline, Week 15 or study discontinuation",-1.06,0.15,,,-1.46,0.15,,
SECONDARY,Change From Baseline in Fibromyalgia Impact Questionnaire (FIQ) at Endpoint - Tiredness,"Baseline, Week 15 or study discontinuation",-0.94,0.14,,,-1.43,0.14,,
SECONDARY,Change From Baseline in Fibromyalgia Impact Questionnaire (FIQ) at Endpoint - Morning,"Baseline, Week 15 or study discontinuation",-0.97,0.15,,,-1.56,0.15,,
SECONDARY,Change From Baseline in Fibromyalgia Impact Questionnaire (FIQ) at Endpoint - Stiffness,"Baseline, Week 15 or study discontinuation",-0.90,0.15,,,-1.05,0.15,,
SECONDARY,Change From Baseline in Fibromyalgia Impact Questionnaire (FIQ) at Endpoint - Anxious,"Baseline, Week 15 or study discontinuation",-0.64,0.16,,,-0.92,0.16,,
SECONDARY,Change From Baseline in Fibromyalgia Impact Questionnaire (FIQ) at Endpoint - Depression,"Baseline, Week 15 or study discontinuation",-0.51,0.14,,,-0.55,0.14,,
SECONDARY,Change From Baseline in Analysis of SF-36 Health Survey Results at Endpoint- Physical Functioning,"Baseline, Week 15 or study discontinuation",4.72,0.93,,,9.01,0.93,,
SECONDARY,Change From Baseline in Analysis of SF-36 Health Survey Results at Endpoint- Role Limitations-Physical,"Baseline, Week 15 or study discontinuation",8.36,1.30,,,10.04,1.30,,
SECONDARY,Change From Baseline in Analysis of SF-36 Health Survey Results at Endpoint- Bodily Pain,"Baseline, Week 15 or study discontinuation",9.50,1.06,,,11.65,1.06,,
SECONDARY,Change From Baseline in Analysis of SF-36 Health Survey Results at Endpoint- General Health Perception,"Baseline, Week 15 or study discontinuation",2.83,0.85,,,4.66,0.85,,
SECONDARY,Change From Baseline in Analysis of SF-36 Health Survey Results at Endpoint- Social Functioning,"Baseline, Week 15 or study discontinuation",6.84,1.38,,,8.43,1.37,,
SECONDARY,Change From Baseline in Analysis of SF-36 Health Survey Results at Endpoint- Role Limitations-Emotional,"Baseline, Week 15 or study discontinuation",3.50,1.36,,,3.27,1.35,,
SECONDARY,Change From Baseline in Analysis of SF-36 Health Survey Results at Endpoint- Vitality,"Baseline, Week 15 or study discontinuation",5.12,1.22,,,9.53,1.21,,
SECONDARY,Change From Baseline in Analysis of SF-36 Health Survey Results at Endpoint- Mental Health,"Baseline, Week 15 or study discontinuation",3.33,0.98,,,5.97,0.98,,
SECONDARY,Change From Baseline in Hospital Anxiety and Depression Scale (HADS) - Anxiety,"Baseline, Week 15 or study discontinuation",-0.09,0.18,,,-0.57,0.18,,
SECONDARY,Change From Baseline in Hospital Anxiety and Depression Scale (HADS) - Depression,"Baseline, Week 15 or study discontinuation",0.00,0.20,,,-0.29,0.20,,
SECONDARY,Change From Baseline in Pain Visual Analog Scale (Pain VAS) Score at Endpoint,"Baseline, Week 15 or study discontinuation",-14.11,1.45,,,-20.30,1.44,,
